num,title,file
04/2024,PROCESSO SELETIVO PARA ESTUDANTES DO VLIBRAS,edital-04-2024-npe-lavid.pdf
03/2024,PROCESSO SELETIVO PARA PESQUISADORES DO VLIBRAS,edital-03-2024-npe-lavid.pdf
02/2024,RESULTADO DA 2° ETAPA DO EDITAL Nº 01/2024, edital-02-2024-npe-lavid_resultado.pdf
01/2024, RESULTADO DA 2° ETAPA DO EDITAL Nº 01/2024, edital-01-2024-npe-lavid_resultado.pdf
